Title,Address,Price($),Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url,rentcast_id,last_seen_date,status
"Standard - , ,  ",", ,  ",4300,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"107-E-88th-St,-Unit-2EE,-New-York,-NY-10128",2025-11-06T04:17:55.794Z,Active
"Standard - , ,  ",", ,  ",5995,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"40-Harrison-St,-Unit-33DE,-New-York,-NY-10013",2025-11-06T04:17:55.793Z,Active
"Standard - , ,  ",", ,  ",3503,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"408-E-92nd-St,-Unit-3CC,-New-York,-NY-10128",2025-11-06T04:17:55.793Z,Active
"Standard - , ,  ",", ,  ",6800,2025-11-06T00:00:00.000Z,Apartment,2,2,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"405-E-56th-St,-Unit-6DD,-New-York,-NY-10022",2025-11-06T04:17:55.792Z,Active
"Standard - , ,  ",", ,  ",10750,2025-11-06T00:00:00.000Z,Apartment,2,2,Not Specified,Not Specified,No,,,No,1242,No,No,None,No,,,,0,,"145-Fourth-Ave,-Unit-17F,-New-York,-NY-10003",2025-11-06T04:17:55.791Z,Active
"Standard - , ,  ",", ,  ",4650,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"50-W-97th-St,-Unit-4ST,-New-York,-NY-10025",2025-11-06T04:17:55.791Z,Active
"Standard - , ,  ",", ,  ",5995,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"310-Greenwich-St,-Unit-6GH,-New-York,-NY-10013",2025-11-06T04:17:55.790Z,Active
"Standard - , ,  ",", ,  ",4795,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"50-W-93rd-St,-Unit-2AB,-New-York,-NY-10025",2025-11-06T04:17:55.790Z,Active
"Standard - , ,  ",", ,  ",3900,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,285,No,No,None,No,,,,0,,"117-W-13th-St,-Apt-25,-New-York,-NY-10011",2025-11-06T04:17:55.789Z,Active
"Standard - , ,  ",", ,  ",4499,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,565,No,No,None,No,,,,0,,"50-Murray-St,-Unit-425A,-New-York,-NY-10007",2025-11-06T04:17:55.788Z,Active
